batch_index,start_sample,accuracy,drift_detected
577,57700,1.0,True
578,57800,1.0,True
579,57900,0.99,True
580,58000,1.0,True
581,58100,1.0,True
582,58200,1.0,True
583,58300,0.98,True
584,58400,0.94,True
585,58500,1.0,True
586,58600,1.0,True
587,58700,1.0,True
588,58800,1.0,True
589,58900,0.99,True
590,59000,1.0,True
591,59100,1.0,True
592,59200,1.0,True
593,59300,0.98,True
594,59400,1.0,True
595,59500,1.0,True
596,59600,0.98,True
597,59700,1.0,True
598,59800,1.0,True
599,59900,1.0,True
600,60000,0.98,True
601,60100,1.0,True
602,60200,1.0,True
603,60300,0.97,True
604,60400,1.0,True
605,60500,0.96,True
606,60600,1.0,True
607,60700,1.0,True
608,60800,0.98,True
609,60900,0.99,True
610,61000,0.98,True
611,61100,0.98,True
612,61200,1.0,True
613,61300,0.99,True
614,61400,0.99,True
615,61500,0.99,True
616,61600,1.0,True
617,61700,1.0,True
618,61800,1.0,True
619,61900,1.0,True
620,62000,1.0,True
621,62100,1.0,True
622,62200,0.99,True
623,62300,0.99,True
624,62400,1.0,True
625,62500,0.99,True
626,62600,1.0,True
627,62700,1.0,True
628,62800,1.0,True
629,62900,0.98,True
630,63000,0.94,True
631,63100,0.99,True
632,63200,1.0,True
633,63300,1.0,True
634,63400,0.99,True
635,63500,1.0,True
636,63600,1.0,True
637,63700,1.0,True
638,63800,0.99,True
639,63900,1.0,True
640,64000,0.99,True
641,64100,0.99,True
642,64200,1.0,True
643,64300,1.0,True
644,64400,1.0,True
645,64500,0.99,True
646,64600,1.0,True
647,64700,0.99,True
648,64800,0.99,True
649,64900,0.98,True
650,65000,1.0,True
651,65100,1.0,True
652,65200,0.99,True
653,65300,0.99,True
654,65400,1.0,True
655,65500,0.99,True
656,65600,0.99,True
657,65700,1.0,True
658,65800,0.98,True
659,65900,0.99,True
660,66000,1.0,True
661,66100,1.0,True
662,66200,0.99,True
663,66300,1.0,True
664,66400,0.99,True
665,66500,1.0,True
666,66600,0.99,True
667,66700,1.0,True
668,66800,0.99,True
669,66900,0.97,True
670,67000,0.98,True
671,67100,0.99,True
672,67200,1.0,True
673,67300,0.98,True
674,67400,0.99,True
675,67500,1.0,True
676,67600,1.0,True
677,67700,0.99,True
678,67800,0.98,True
679,67900,0.99,True
680,68000,0.97,True
681,68100,1.0,True
682,68200,1.0,True
683,68300,1.0,True
684,68400,1.0,True
685,68500,0.98,True
686,68600,0.98,True
687,68700,1.0,True
688,68800,0.98,True
689,68900,0.99,True
690,69000,1.0,True
691,69100,1.0,True
692,69200,0.98,True
693,69300,0.97,True
694,69400,0.99,True
695,69500,0.98,True
696,69600,0.97,True
697,69700,1.0,True
698,69800,0.99,True
699,69900,0.98,True
700,70000,1.0,True
701,70100,0.99,True
702,70200,1.0,True
703,70300,0.99,True
704,70400,1.0,True
705,70500,1.0,True
706,70600,1.0,True
707,70700,0.99,True
708,70800,0.99,True
709,70900,1.0,True
710,71000,0.98,True
711,71100,0.98,True
712,71200,1.0,True
713,71300,0.99,True
714,71400,1.0,True
715,71500,0.98,True
716,71600,0.99,True
717,71700,1.0,True
718,71800,0.99,True
719,71900,0.99,True
720,72000,1.0,True
721,72100,1.0,True
722,72200,0.99,True
723,72300,1.0,True
724,72400,0.99,True
725,72500,0.98,True
726,72600,1.0,True
727,72700,1.0,True
